type	latitude	longitude	altitude (m)	name
W	41.844847866	-122.694958578	793.8	495
W	41.844847866	-122.653636075	1156.5	496
W	41.844847866	-122.612313571	1039.3	497
W	41.844847866	-122.570991068	708.3	498
W	41.844847866	-122.529668565	1002.4	499
W	41.844847866	-122.488346062	832.4	500
W	41.844847866	-122.447023559	759.8	501
W	41.844847866	-122.405701056	964.9	502
W	41.844847866	-122.364378553	1086.9	503
W	41.844847866	-122.323056050	1185.6	504
W	41.844847866	-122.281733547	1694.1	505
W	41.844847866	-122.240411044	1844.8	506
W	41.844847866	-122.199088541	2012.8	507
W	41.844847866	-122.157766038	1625.6	508
W	41.844847866	-122.116443535	1294.8	509
W	41.844847866	-122.075121032	1291.1	510
W	41.844847866	-122.033798529	1292.6	511
W	41.844847866	-121.992476025	1293.0	512
W	41.844847866	-121.951153522	1301.8	513
W	41.844847866	-121.909831019	1293.6	514
W	41.844847866	-121.868508516	1335.1	515
W	41.844847866	-121.827186013	1489.3	516
W	41.844847866	-121.785863510	1266.1	517
W	41.844847866	-121.744541007	1354.7	518
W	41.844847866	-121.703218504	1307.0	519
W	41.844847866	-121.661896001	1360.1	520
W	41.844847866	-121.620573498	1308.9	521
W	41.844847866	-121.579250995	1346.8	522
W	41.844847866	-121.537928492	1228.2	523
W	41.844847866	-121.496605989	1227.9	524
W	41.844847866	-121.455283486	1229.9	525
W	41.844847866	-121.413960982	1230.3	526
W	41.844847866	-121.372638479	1230.0	527
W	41.844847866	-121.331315976	1231.2	528
W	41.844847866	-121.289993473	1323.5	529
W	41.844847866	-121.248670970	1507.0	530
W	41.844847866	-121.207348467	1366.6	531
W	41.844847866	-121.166025964	1366.6	532
W	41.844847866	-121.124703461	1378.4	533
W	41.844847866	-121.083380958	1371.4	534
W	41.844847866	-121.042058455	1415.7	535
W	41.844847866	-121.000735952	1422.7	536
W	41.844847866	-120.959413449	1441.3	537
W	41.844847866	-120.918090946	1479.1	538
W	41.844847866	-120.876768443	1537.3	539
W	41.844847866	-120.835445939	1566.5	540
W	41.844847866	-120.794123436	1548.4	541
W	41.844847866	-120.752800933	1552.7	542
W	41.844847866	-120.711478430	1520.5	543
W	41.844847866	-120.670155927	1542.4	544
W	41.844847866	-120.628833424	1583.6	545
W	41.844847866	-120.587510921	1580.4	546
W	41.844847866	-120.546188418	1598.0	547
W	41.844847866	-120.504865915	1507.4	548
W	41.844847866	-120.463543412	1434.0	549
W	41.844847866	-120.422220909	1434.0	550
W	41.844847866	-120.380898406	1434.0	551
W	41.844847866	-120.339575903	1647.4	552
W	41.844847866	-120.298253400	1653.4	553
W	41.844847866	-120.256930897	1640.1	554
W	41.844847866	-120.215608393	2196.3	555
W	41.844847866	-120.174285890	1528.5	556
W	41.844847866	-120.132963387	1363.9	557
W	41.844847866	-120.091640884	1371.4	558
W	41.844847866	-120.050318381	1531.7	559
W	41.844847866	-120.008995878	1624.5	560
W	41.814057094	-124.223891191	6.9	561
W	41.814057094	-124.182568688	2.2	562
W	41.814057094	-124.141246185	32.6	563
W	41.814057094	-124.099923682	21.3	564
W	41.814057094	-124.058601179	343.3	565
W	41.814057094	-124.017278676	531.6	566
W	41.814057094	-123.975956173	565.6	567
W	41.814057094	-123.934633670	697.7	568
W	41.814057094	-123.893311167	905.2	569
W	41.814057094	-123.851988664	1044.2	570
W	41.814057094	-123.810666160	731.4	571
W	41.814057094	-123.769343657	1200.2	572
W	41.814057094	-123.728021154	1116.8	573
W	41.814057094	-123.686698651	1369.1	574
W	41.814057094	-123.645376148	930.9	575
W	41.814057094	-123.604053645	1397.1	576
W	41.814057094	-123.562731142	1487.2	577
W	41.814057094	-123.521408639	1475.7	578
W	41.814057094	-123.480086136	1488.3	579
W	41.814057094	-123.438763633	976.9	580
W	41.814057094	-123.397441130	696.5	581
W	41.814057094	-123.356118627	445.8	582
W	41.814057094	-123.314796124	389.2	583
W	41.814057094	-123.273473621	928.4	584
W	41.814057094	-123.232151118	1097.5	585
W	41.814057094	-123.190828614	946.5	586
W	41.814057094	-123.149506111	950.9	587
W	41.814057094	-123.108183608	605.4	588
W	41.814057094	-123.066861105	897.8	589
W	41.814057094	-123.025538602	640.7	590
W	41.814057094	-122.984216099	604.9	591
W	41.814057094	-122.942893596	919.0	592
W	41.814057094	-122.901571093	828.7	593
W	41.814057094	-122.860248590	633.5	594
W	41.814057094	-122.818926087	838.3	595
W	41.814057094	-122.777603584	1155.6	596
W	41.814057094	-122.736281081	1457.4	597
W	41.814057094	-122.694958578	924.6	598
W	41.814057094	-122.653636075	1132.8	599
W	41.814057094	-122.612313571	1180.2	600
W	41.814057094	-122.570991068	851.5	601
W	41.814057094	-122.529668565	1073.8	602
W	41.814057094	-122.488346062	802.6	603
W	41.814057094	-122.447023559	811.6	604
W	41.814057094	-122.405701056	831.1	605
W	41.814057094	-122.364378553	935.9	606
W	41.814057094	-122.323056050	1328.1	607
W	41.814057094	-122.281733547	1596.7	608
W	41.814057094	-122.240411044	2343.2	609
W	41.814057094	-122.199088541	1973.4	610
W	41.814057094	-122.157766038	2045.1	611
W	41.814057094	-122.116443535	1607.1	612
W	41.814057094	-122.075121032	1301.9	613
W	41.814057094	-122.033798529	1295.8	614
W	41.814057094	-121.992476025	1302.5	615
W	41.814057094	-121.951153522	1313.5	616
W	41.814057094	-121.909831019	1515.8	617
