time,tasmax_day_CNRM-CM5_rcp85
2007-09-02 00:00:00+00:00,307.8994
2007-09-03 00:00:00+00:00,307.316
2007-09-04 00:00:00+00:00,301.62
2007-09-05 00:00:00+00:00,300.96063
2007-09-06 00:00:00+00:00,306.02963
2007-09-07 00:00:00+00:00,309.22925
2007-09-08 00:00:00+00:00,308.11972
2007-09-09 00:00:00+00:00,305.94748
2007-09-10 00:00:00+00:00,306.2354
2007-09-11 00:00:00+00:00,307.99826
2007-09-12 00:00:00+00:00,308.06943
2007-09-13 00:00:00+00:00,306.94797
2007-09-14 00:00:00+00:00,302.2062
2007-09-15 00:00:00+00:00,299.3335
2007-09-16 00:00:00+00:00,298.04916
2007-09-17 00:00:00+00:00,300.53375
2007-09-18 00:00:00+00:00,302.6933
2007-09-19 00:00:00+00:00,305.1442
2007-09-20 00:00:00+00:00,305.3876
2007-09-21 00:00:00+00:00,307.31012
2007-09-22 00:00:00+00:00,309.5192
2007-09-23 00:00:00+00:00,308.05768
